region_type,region_id,parent_id,color,local_x,local_y,global_x,global_y,bbox_local,bbox,density_multiplier
land,24,,#10fc58,1642.32,97.96,1642.32,97.96,"[1406, 17, 1847, 205]","[1406, 17, 1847, 205]",0.25
ocean,25,,#f72d2f,1162.76,23.4,1162.76,23.4,"[1143, 19, 1179, 33]","[1143, 19, 1179, 33]",0.25
land,26,,#da3ced,1583.49,26.02,1583.49,26.02,"[1550, 18, 1622, 34]","[1550, 18, 1622, 34]",0.55
land,27,,#dbb018,3665.92,45.58,3665.92,45.58,"[3621, 22, 3710, 68]","[3621, 22, 3710, 68]",0.25
land,28,,#61083e,1086.99,63.22,1086.99,63.22,"[951, 24, 1230, 101]","[951, 24, 1230, 101]",0.25
land,29,,#c73e5d,1570.87,35.64,1570.87,35.64,"[1550, 27, 1600, 45]","[1550, 27, 1600, 45]",0.7
land,30,,#7fd111,2403.98,29.87,2403.98,29.87,"[2387, 26, 2425, 35]","[2387, 26, 2425, 35]",0.72
ocean,31,,#3962f2,960.02,75.56,960.02,75.56,"[848, 33, 1168, 121]","[848, 33, 1168, 121]",1.0
land,32,,#b9ce2e,2448.41,36.11,2448.41,36.11,"[2430, 25, 2465, 44]","[2430, 25, 2465, 44]",0.91
land,33,,#4ed510,1053.19,237.54,1053.19,237.54,"[608, 46, 1544, 421]","[608, 46, 1544, 421]",0.25
land,34,,#75af3d,4112.4,58.23,4112.4,58.23,"[4104, 50, 4123, 66]","[4104, 50, 4123, 66]",0.8
land,35,,#828069,13.39,57.07,13.39,57.07,"[0, 53, 36, 63]","[0, 53, 36, 63]",0.25
land,36,,#129cb2,5624.5,59.21,5624.5,59.21,"[5614, 54, 5632, 65]","[5614, 54, 5632, 65]",0.95
land,37,,#f133f4,418.87,156.67,418.87,156.67,"[188, 56, 637, 301]","[188, 56, 637, 301]",0.25
land,38,,#8a668c,2400.71,65.29,2400.71,65.29,"[2377, 59, 2418, 72]","[2377, 59, 2418, 72]",0.78
land,39,,#f96b8f,3178.28,84.57,3178.28,84.57,"[3085, 62, 3258, 109]","[3085, 62, 3258, 109]",2.23
land,40,,#4e5621,3274.3,73.56,3274.3,73.56,"[3256, 64, 3299, 88]","[3256, 64, 3299, 88]",0.89
ocean,41,,#b5ca5a,3746.88,76.1,3746.88,76.1,"[3733, 70, 3763, 83]","[3733, 70, 3763, 83]",0.65
ocean,42,,#40622c,1536.8,216.96,1536.8,216.96,"[1331, 71, 1804, 372]","[1331, 71, 1804, 372]",1.0
land,43,,#2ade7e,1745.4,78.59,1745.4,78.59,"[1721, 73, 1764, 92]","[1721, 73, 1764, 92]",0.4
land,44,,#2caef1,1979.32,79.62,1979.32,79.62,"[1958, 72, 2003, 88]","[1958, 72, 2003, 88]",1.0
ocean,45,,#4c7950,764.03,79.54,764.03,79.54,"[749, 75, 779, 87]","[749, 75, 779, 87]",0.7
land,46,,#4005c1,3227.84,163.19,3227.84,163.19,"[3144, 76, 3310, 235]","[3144, 76, 3310, 235]",2.23
ocean,47,,#7c1df5,5456.75,80.1,5456.75,80.1,"[5445, 77, 5468, 84]","[5445, 77, 5468, 84]",1.0
land,48,,#f67adc,1291.3,91.18,1291.3,91.18,"[1264, 79, 1317, 105]","[1264, 79, 1317, 105]",0.25
land,49,,#7036cf,3416.82,296.43,3416.82,296.43,"[3245, 79, 3585, 529]","[3245, 79, 3585, 529]",1.0
ocean,50,,#c92fdb,1325.04,98.61,1325.04,98.61,"[1304, 83, 1350, 124]","[1304, 83, 1350, 124]",0.95
ocean,51,,#030cab,3583.92,90.46,3583.92,90.46,"[3572, 85, 3601, 98]","[3572, 85, 3601, 98]",0.42
land,52,,#74c1a9,4026.87,98.22,4026.87,98.22,"[4014, 91, 4038, 111]","[4014, 91, 4038, 111]",0.7
land,53,,#276e43,3077.25,188.64,3077.25,188.64,"[2990, 92, 3193, 307]","[2990, 92, 3193, 307]",2.23
land,54,,#1fa5a9,60.97,131.34,60.97,131.34,"[0, 94, 151, 167]","[0, 94, 151, 167]",0.25
ocean,55,,#5ab19f,1136.5,99.47,1136.5,99.47,"[1116, 94, 1162, 109]","[1116, 94, 1162, 109]",0.48
land,56,,#2f5d88,1623.0,111.63,1623.0,111.63,"[1606, 104, 1641, 121]","[1606, 104, 1641, 121]",0.25
land,57,,#4db543,2973.0,205.08,2973.0,205.08,"[2895, 102, 3076, 265]","[2895, 102, 3076, 265]",2.23
land,58,,#711efd,2138.16,167.09,2138.16,167.09,"[2029, 112, 2278, 234]","[2029, 112, 2278, 234]",1.0
land,59,,#465ab2,1994.05,115.72,1994.05,115.72,"[1973, 105, 2015, 123]","[1973, 105, 2015, 123]",0.85
land,60,,#d71452,1999.04,123.42,1999.04,123.42,"[1978, 119, 2016, 133]","[1978, 119, 2016, 133]",0.85
land,61,,#1e4786,926.25,139.22,926.25,139.22,"[891, 124, 973, 157]","[891, 124, 973, 157]",1.0
land,62,,#c97a9f,2532.71,156.69,2532.71,156.69,"[2460, 132, 2601, 181]","[2460, 132, 2601, 181]",2.23
land,63,,#4455a0,2469.49,141.56,2469.49,141.56,"[2458, 134, 2480, 149]","[2458, 134, 2480, 149]",0.7
land,64,,#3e0c44,1493.99,164.53,1493.99,164.53,"[1451, 142, 1556, 185]","[1451, 142, 1556, 185]",0.25
ocean,65,,#9bfee7,3126.31,248.86,3126.31,248.86,"[2988, 142, 3282, 331]","[2988, 142, 3282, 331]",3.06
lake,66,,#b42d07,920.05,150.3,920.05,150.3,"[911, 146, 931, 157]","[911, 146, 931, 157]",0.4
land,67,,#2b60e8,1612.51,157.84,1612.51,157.84,"[1592, 149, 1635, 168]","[1592, 149, 1635, 168]",0.25
ocean,68,,#d30ce4,5244.71,1168.3,5244.71,1168.3,"[4656, 156, 5632, 2112]","[4656, 156, 5632, 2112]",0.51
ocean,69,,#60e544,152.28,180.36,152.28,180.36,"[140, 176, 165, 187]","[140, 176, 165, 187]",0.56
ocean,70,,#596121,1516.41,192.71,1516.41,192.71,"[1502, 187, 1533, 200]","[1502, 187, 1533, 200]",0.29
land,71,,#ce2429,1705.94,302.01,1705.94,302.01,"[1567, 194, 1915, 397]","[1567, 194, 1915, 397]",0.25
lake,72,,#306697,1021.49,209.4,1021.49,209.4,"[990, 194, 1053, 221]","[990, 194, 1053, 221]",1.0
ocean,73,,#4aa401,1566.16,201.56,1566.16,201.56,"[1559, 196, 1575, 209]","[1559, 196, 1575, 209]",0.25
lake,74,,#80430b,3308.52,220.34,3308.52,220.34,"[3286, 207, 3331, 235]","[3286, 207, 3331, 235]",1.0
ocean,75,,#65b794,549.65,711.03,549.65,711.03,"[0, 213, 1509, 1045]","[0, 213, 1509, 1045]",0.51
ocean,76,,#c89ad5,211.1,231.68,211.1,231.68,"[199, 228, 222, 237]","[199, 228, 222, 237]",0.34
land,77,,#96cde7,648.37,243.77,648.37,243.77,"[633, 235, 664, 256]","[633, 235, 664, 256]",0.43
land,78,,#346512,688.92,247.29,688.92,247.29,"[675, 238, 704, 268]","[675, 238, 704, 268]",0.4
land,79,,#c0ec14,707.54,252.04,707.54,252.04,"[696, 239, 722, 273]","[696, 239, 722, 273]",0.38
land,80,,#2d877e,3220.54,254.04,3220.54,254.04,"[3183, 240, 3254, 273]","[3183, 240, 3254, 273]",2.23
land,81,,#2c37b2,670.33,254.63,670.33,254.63,"[663, 250, 684, 261]","[663, 250, 684, 261]",0.3
land,82,,#60daf7,2778.66,329.64,2778.66,329.64,"[2725, 251, 2844, 388]","[2725, 251, 2844, 388]",1.6
land,83,,#000d02,3206.29,282.67,3206.29,282.67,"[3145, 264, 3258, 302]","[3145, 264, 3258, 302]",2.23
land,84,,#0dce0b,757.53,291.09,757.53,291.09,"[718, 266, 781, 321]","[718, 266, 781, 321]",0.4
land,85,,#82a203,3104.8,272.89,3104.8,272.89,"[3100, 267, 3111, 281]","[3100, 267, 3111, 281]",0.54
ocean,86,,#cfc294,2973.63,275.43,2973.63,275.43,"[2966, 271, 2981, 281]","[2966, 271, 2981, 281]",0.98
land,87,,#4b4dd9,702.02,281.2,702.02,281.2,"[692, 267, 708, 292]","[692, 267, 708, 292]",0.28
land,88,,#383b68,2960.56,295.77,2960.56,295.77,"[2944, 279, 2987, 315]","[2944, 279, 2987, 315]",2.23
land,89,,#d6a679,3189.64,306.55,3189.64,306.55,"[3146, 290, 3233, 330]","[3146, 290, 3233, 330]",2.23
land,90,,#0482a2,3254.54,334.65,3254.54,334.65,"[3180, 294, 3327, 371]","[3180, 294, 3327, 371]",2.23
land,91,,#7cec06,737.49,303.08,737.49,303.08,"[726, 288, 750, 315]","[726, 288, 750, 315]",0.4
ocean,92,,#caae60,282.31,302.69,282.31,302.69,"[269, 297, 302, 313]","[269, 297, 302, 313]",0.55
land,93,,#933dcc,2998.53,304.54,2998.53,304.54,"[2990, 298, 3009, 315]","[2990, 298, 3009, 315]",0.88
lake,94,,#a50b44,4504.8,334.75,4504.8,334.75,"[4443, 300, 4537, 368]","[4443, 300, 4537, 368]",0.85
land,95,,#6deb30,4634.16,365.07,4634.16,365.07,"[4085, 301, 5031, 505]","[4085, 301, 5031, 505]",1.0
land,96,,#8588eb,3869.58,418.32,3869.58,418.32,"[3545, 306, 4179, 538]","[3545, 306, 4179, 538]",1.0
land,97,,#e5124a,1612.87,396.17,1612.87,396.17,"[1406, 308, 1944, 513]","[1406, 308, 1944, 513]",0.85
land,98,,#2ab1c4,3151.15,316.01,3151.15,316.01,"[3126, 308, 3173, 322]","[3126, 308, 3173, 322]",1.45
land,99,,#f7565e,2710.82,317.55,2710.82,317.55,"[2690, 308, 2729, 328]","[2690, 308, 2729, 328]",2.23
ocean,100,,#605b84,245.89,315.65,245.89,315.65,"[234, 312, 259, 322]","[234, 312, 259, 322]",0.35
ocean,101,,#ff7149,2980.89,317.46,2980.89,317.46,"[2971, 305, 2992, 323]","[2971, 305, 2992, 323]",0.86
land,102,,#d5e07e,2977.98,373.22,2977.98,373.22,"[2910, 310, 3051, 433]","[2910, 310, 3051, 433]",2.23
land,103,,#f231b4,3119.39,356.59,3119.39,356.59,"[3038, 315, 3193, 406]","[3038, 315, 3193, 406]",2.23
land,104,,#8f3395,2689.97,341.88,2689.97,341.88,"[2655, 316, 2722, 367]","[2655, 316, 2722, 367]",2.23
lake,105,,#e5c845,1279.64,343.59,1279.64,343.59,"[1263, 328, 1301, 364]","[1263, 328, 1301, 364]",0.85
ocean,106,,#486968,5050.05,383.56,5050.05,383.56,"[5034, 331, 5075, 454]","[5034, 331, 5075, 454]",1.0
land,107,,#ec8d9e,4395.41,568.78,4395.41,568.78,"[3969, 335, 4926, 841]","[3969, 335, 4926, 841]",0.51
land,108,,#9e461c,2904.29,353.49,2904.29,353.49,"[2878, 335, 2929, 379]","[2878, 335, 2929, 379]",2.23
land,109,,#1b1c3a,3305.18,402.69,3305.18,402.69,"[3163, 354, 3444, 465]","[3163, 354, 3444, 465]",2.23
land,110,,#4c319c,4428.84,439.98,4428.84,439.98,"[4191, 358, 4694, 522]","[4191, 358, 4694, 522]",1.0
land,111,,#94ba45,1931.5,408.01,1931.5,408.01,"[1887, 368, 1978, 432]","[1887, 368, 1978, 432]",1.0
land,112,,#de995c,2888.29,380.0,2888.29,380.0,"[2856, 367, 2916, 398]","[2856, 367, 2916, 398]",2.23
land,113,,#b43015,2854.43,443.05,2854.43,443.05,"[2742, 374, 2943, 510]","[2742, 374, 2943, 510]",2.23
land,114,,#01371e,3054.81,394.29,3054.81,394.29,"[3008, 375, 3110, 413]","[3008, 375, 3110, 413]",2.23
land,115,,#b4df05,850.95,396.74,850.95,396.74,"[815, 378, 890, 418]","[815, 378, 890, 418]",1.0
land,116,,#2e08ba,1830.85,398.62,1830.85,398.62,"[1814, 393, 1850, 405]","[1814, 393, 1850, 405]",0.85
land,117,,#5e485d,3119.93,410.39,3119.93,410.39,"[3080, 397, 3168, 426]","[3080, 397, 3168, 426]",2.23
land,118,,#824eb8,1209.59,551.1,1209.59,551.1,"[940, 401, 1500, 768]","[940, 401, 1500, 768]",0.77
land,119,,#65a0c7,1762.68,443.63,1762.68,443.63,"[1653, 402, 1856, 492]","[1653, 402, 1856, 492]",1.0
land,120,,#102109,929.02,536.31,929.02,536.31,"[864, 407, 1018, 664]","[864, 407, 1018, 664]",1.73
land,121,,#a2bd57,3038.46,427.58,3038.46,427.58,"[2965, 407, 3084, 447]","[2965, 407, 3084, 447]",2.23
lake,122,,#1bcee0,1442.81,428.59,1442.81,428.59,"[1375, 408, 1493, 446]","[1375, 408, 1493, 446]",1.0
land,123,,#e44b7a,3119.4,434.56,3119.4,434.56,"[3071, 413, 3174, 457]","[3071, 413, 3174, 457]",2.23
land,124,,#0c01f8,3261.05,433.6,3261.05,433.6,"[3237, 415, 3285, 462]","[3237, 415, 3285, 462]",2.23
land,125,,#48067e,3206.45,454.65,3206.45,454.65,"[3135, 417, 3281, 490]","[3135, 417, 3281, 490]",2.23
land,126,,#1fca08,1980.29,433.5,1980.29,433.5,"[1969, 422, 1992, 443]","[1969, 422, 1992, 443]",0.85
land,127,,#28898a,2943.62,439.89,2943.62,439.89,"[2912, 426, 2979, 455]","[2912, 426, 2979, 455]",2.23
land,128,,#d268b5,1550.94,580.12,1550.94,580.12,"[1418, 431, 1767, 780]","[1418, 431, 1767, 780]",1.73
ocean,129,,#323052,3390.47,450.41,3390.47,450.41,"[3361, 434, 3427, 465]","[3361, 434, 3427, 465]",1.0
ocean,130,,#1a1f01,3608.7,519.73,3608.7,519.73,"[3548, 436, 3662, 601]","[3548, 436, 3662, 601]",2.18
land,131,,#78b152,3004.97,490.83,3004.97,490.83,"[2921, 437, 3106, 580]","[2921, 437, 3106, 580]",2.23
ocean,132,,#17aec5,1861.64,447.6,1861.64,447.6,"[1853, 438, 1871, 462]","[1853, 438, 1871, 462]",0.48
land,133,,#a58f37,3047.01,450.86,3047.01,450.86,"[3027, 439, 3073, 466]","[3027, 439, 3073, 466]",2.2
lake,134,,#2e6f41,3978.68,451.1,3978.68,451.1,"[3967, 441, 3998, 466]","[3967, 441, 3998, 466]",0.7
ocean,135,,#962685,3350.69,496.28,3350.69,496.28,"[3248, 443, 3470, 533]","[3248, 443, 3470, 533]",2.18
land,136,,#d30b24,3074.66,464.23,3074.66,464.23,"[3041, 444, 3116, 497]","[3041, 444, 3116, 497]",1.38
land,137,,#2d6892,3808.02,452.96,3808.02,452.96,"[3800, 447, 3818, 460]","[3800, 447, 3818, 460]",1.0
land,138,,#68ccff,3352.49,463.47,3352.49,463.47,"[3327, 450, 3388, 478]","[3327, 450, 3388, 478]",2.23
land,139,,#6e8567,3141.03,480.23,3141.03,480.23,"[3111, 451, 3175, 511]","[3111, 451, 3175, 511]",2.23
lake,140,,#5b735c,1456.09,486.16,1456.09,486.16,"[1440, 452, 1487, 522]","[1440, 452, 1487, 522]",1.0
lake,141,,#659fb7,1522.43,472.95,1522.43,472.95,"[1492, 451, 1544, 500]","[1492, 451, 1544, 500]",1.0
lake,142,,#721451,1549.3,463.44,1549.3,463.44,"[1534, 453, 1565, 477]","[1534, 453, 1565, 477]",1.0
ocean,143,,#e26453,3075.15,594.8,3075.15,594.8,"[2730, 457, 3383, 700]","[2730, 457, 3383, 700]",2.18
land,144,,#ee00fb,3801.82,519.01,3801.82,519.01,"[3693, 461, 3957, 591]","[3693, 461, 3957, 591]",1.0
land,145,,#ad02f9,5049.21,492.97,5049.21,492.97,"[5005, 461, 5092, 525]","[5005, 461, 5092, 525]",1.0
land,146,,#633353,3093.5,481.18,3093.5,481.18,"[3063, 465, 3120, 507]","[3063, 465, 3120, 507]",2.23
land,147,,#ddcc6a,3210.37,503.21,3210.37,503.21,"[3166, 481, 3264, 528]","[3166, 481, 3264, 528]",2.23
lake,148,,#f9d5f7,1596.9,489.51,1596.9,489.51,"[1568, 481, 1623, 497]","[1568, 481, 1623, 497]",0.85
land,149,,#5ba10b,2760.19,540.78,2760.19,540.78,"[2671, 489, 2867, 610]","[2671, 489, 2867, 610]",2.23
land,150,,#5899b2,3497.12,512.79,3497.12,512.79,"[3443, 491, 3547, 530]","[3443, 491, 3547, 530]",1.0
land,151,,#34c3d9,3116.53,502.77,3116.53,502.77,"[3105, 492, 3132, 516]","[3105, 492, 3132, 516]",2.23
land,152,,#07ac55,3142.43,506.4,3142.43,506.4,"[3130, 497, 3156, 518]","[3130, 497, 3156, 518]",2.23
land,153,,#271567,3986.64,522.31,3986.64,522.31,"[3916, 497, 4073, 559]","[3916, 497, 4073, 559]",1.0
land,154,,#c1d765,4806.81,544.21,4806.81,544.21,"[4763, 501, 4862, 584]","[4763, 501, 4862, 584]",1.0
lake,155,,#85b678,1545.59,512.54,1545.59,512.54,"[1517, 502, 1579, 525]","[1517, 502, 1579, 525]",1.0
land,156,,#44616a,2958.12,513.01,2958.12,513.01,"[2951, 504, 2966, 525]","[2951, 504, 2966, 525]",2.23
land,157,,#afa6d8,3746.8,560.93,3746.8,560.93,"[3642, 504, 3859, 622]","[3642, 504, 3859, 622]",1.0
land,158,,#be2cda,3129.58,528.71,3129.58,528.71,"[3118, 507, 3145, 555]","[3118, 507, 3145, 555]",2.23
land,159,,#a058bb,3154.92,521.56,3154.92,521.56,"[3137, 511, 3176, 534]","[3137, 511, 3176, 534]",2.23
land,160,,#91341f,2690.71,551.38,2690.71,551.38,"[2668, 514, 2718, 594]","[2668, 514, 2718, 594]",2.23
ocean,161,,#d55f1a,3655.05,525.17,3655.05,525.17,"[3641, 513, 3674, 538]","[3641, 513, 3674, 538]",2.18
land,162,,#92fe6b,3243.85,525.96,3243.85,525.96,"[3224, 515, 3272, 540]","[3224, 515, 3272, 540]",2.23
land,163,,#163b09,3370.81,562.21,3370.81,562.21,"[3225, 515, 3517, 612]","[3225, 515, 3517, 612]",1.0
land,164,,#3fcca4,3562.37,540.89,3562.37,540.89,"[3522, 518, 3598, 572]","[3522, 518, 3598, 572]",1.0
land,165,,#daf501,3167.7,547.24,3167.7,547.24,"[3131, 520, 3233, 582]","[3131, 520, 3233, 582]",2.0
land,166,,#7fd397,2957.17,544.96,2957.17,544.96,"[2944, 527, 2969, 564]","[2944, 527, 2969, 564]",2.23
land,167,,#87d8c0,3517.72,541.31,3517.72,541.31,"[3498, 528, 3545, 565]","[3498, 528, 3545, 565]",1.0
land,168,,#845097,4977.66,598.77,4977.66,598.77,"[4866, 529, 5040, 649]","[4866, 529, 5040, 649]",1.0
ocean,169,,#36120a,3257.63,535.4,3257.63,535.4,"[3240, 530, 3276, 542]","[3240, 530, 3276, 542]",0.7
land,170,,#753fac,3910.84,539.19,3910.84,539.19,"[3900, 531, 3923, 548]","[3900, 531, 3923, 548]",0.73
land,171,,#705059,3929.06,571.72,3929.06,571.72,"[3871, 544, 3992, 599]","[3871, 544, 3992, 599]",0.7
land,172,,#24d198,3910.4,548.96,3910.4,548.96,"[3901, 544, 3921, 555]","[3901, 544, 3921, 555]",0.7
land,173,,#58e01b,3665.7,663.03,3665.7,663.03,"[3507, 551, 3807, 781]","[3507, 551, 3807, 781]",1.0
land,174,,#8658c0,4587.73,702.67,4587.73,702.67,"[4455, 566, 4736, 856]","[4455, 566, 4736, 856]",1.0
land,175,,#52fc8e,4818.9,601.23,4818.9,601.23,"[4793, 570, 4844, 636]","[4793, 570, 4844, 636]",1.0
land,176,,#0cbd12,3846.84,644.2,3846.84,644.2,"[3764, 572, 3943, 713]","[3764, 572, 3943, 713]",1.0
land,177,,#a20cbe,1623.63,583.98,1623.63,583.98,"[1615, 569, 1631, 596]","[1615, 569, 1631, 596]",0.7
land,178,,#8a4b39,3163.43,585.02,3163.43,585.02,"[3147, 573, 3182, 601]","[3147, 573, 3182, 601]",2.23
land,179,,#869433,3037.19,584.52,3037.19,584.52,"[3010, 575, 3059, 599]","[3010, 575, 3059, 599]",2.23
land,180,,#16bbce,3966.79,591.76,3966.79,591.76,"[3953, 587, 3984, 597]","[3953, 587, 3984, 597]",0.9
land,181,,#a282df,2964.67,638.75,2964.67,638.75,"[2934, 589, 2997, 700]","[2934, 589, 2997, 700]",1.0
land,182,,#d73122,3500.18,655.63,3500.18,655.63,"[3423, 589, 3574, 719]","[3423, 589, 3574, 719]",1.0
land,183,,#6ff026,3418.39,624.78,3418.39,624.78,"[3376, 590, 3480, 668]","[3376, 590, 3480, 668]",1.0
land,184,,#63f9a3,2857.1,732.33,2857.1,732.33,"[2679, 593, 3003, 877]","[2679, 593, 3003, 877]",1.0
land,185,,#be0bf6,3901.45,704.16,3901.45,704.16,"[3772, 591, 4023, 801]","[3772, 591, 4023, 801]",1.0
land,186,,#02031c,2685.09,704.36,2685.09,704.36,"[2551, 611, 2799, 839]","[2551, 611, 2799, 839]",1.0
land,187,,#44fc29,3207.8,621.98,3207.8,621.98,"[3197, 619, 3220, 627]","[3197, 619, 3220, 627]",1.75
land,188,,#73bcf8,3334.64,624.85,3334.64,624.85,"[3322, 619, 3349, 632]","[3322, 619, 3349, 632]",1.13
land,189,,#5997c0,4041.22,819.75,4041.22,819.75,"[3887, 618, 4211, 1047]","[3887, 618, 4211, 1047]",1.0
land,190,,#6d9716,3377.48,641.28,3377.48,641.28,"[3367, 631, 3389, 656]","[3367, 631, 3389, 656]",1.0
land,191,,#3673d6,4905.62,645.65,4905.62,645.65,"[4888, 633, 4925, 661]","[4888, 633, 4925, 661]",0.79
ocean,192,,#e5a016,4880.21,645.05,4880.21,645.05,"[4867, 639, 4894, 653]","[4867, 639, 4894, 653]",0.59
land,193,,#79e7e7,4866.15,661.24,4866.15,661.24,"[4847, 642, 4883, 686]","[4847, 642, 4883, 686]",0.85
land,194,,#40a126,3390.78,684.03,3390.78,684.03,"[3363, 652, 3430, 717]","[3363, 652, 3430, 717]",1.0
land,195,,#f87554,3369.92,658.75,3369.92,658.75,"[3363, 652, 3378, 666]","[3363, 652, 3378, 666]",0.58
land,196,,#60fc4b,3097.62,749.78,3097.62,749.78,"[2962, 655, 3210, 867]","[2962, 655, 3210, 867]",1.0
land,197,,#643031,1211.2,798.27,1211.2,798.27,"[982, 662, 1457, 944]","[982, 662, 1457, 944]",1.0
land,198,,#9b24c4,3367.58,672.17,3367.58,672.17,"[3363, 664, 3373, 683]","[3363, 664, 3373, 683]",0.7
land,199,,#479e97,3361.03,688.66,3361.03,688.66,"[3353, 668, 3371, 710]","[3353, 668, 3371, 710]",1.0
land,200,,#35004a,3512.95,795.19,3512.95,795.19,"[3357, 669, 3687, 916]","[3357, 669, 3687, 916]",1.0
land,201,,#2bebc5,3282.47,758.3,3282.47,758.3,"[3203, 679, 3392, 832]","[3203, 679, 3392, 832]",1.0
ocean,202,,#0beb3d,1556.5,871.51,1556.5,871.51,"[1284, 696, 1884, 1047]","[1284, 696, 1884, 1047]",2.18
land,203,,#6fc4b4,4128.88,730.46,4128.88,730.46,"[4070, 698, 4197, 761]","[4070, 698, 4197, 761]",1.0
ocean,204,,#788b5c,3667.45,765.53,3667.45,765.53,"[3567, 698, 3784, 821]","[3567, 698, 3784, 821]",2.18
land,205,,#502fbb,3560.01,713.34,3560.01,713.34,"[3546, 702, 3574, 727]","[3546, 702, 3574, 727]",0.85
ocean,206,,#e9cae1,3420.75,852.82,3420.75,852.82,"[3327, 712, 3498, 977]","[3327, 712, 3498, 977]",2.18
land,207,,#d533db,4274.76,759.61,4274.76,759.61,"[4194, 714, 4340, 829]","[4194, 714, 4340, 829]",1.0
land,208,,#c0d9e4,4325.58,837.11,4325.58,837.11,"[4259, 727, 4394, 1005]","[4259, 727, 4394, 1005]",1.0
land,209,,#681802,4230.79,743.47,4230.79,743.47,"[4206, 730, 4258, 756]","[4206, 730, 4258, 756]",1.0
land,210,,#7a9d07,2653.82,855.8,2653.82,855.8,"[2550, 747, 2737, 943]","[2550, 747, 2737, 943]",1.0
land,211,,#234642,2658.35,758.25,2658.35,758.25,"[2632, 748, 2680, 767]","[2632, 748, 2680, 767]",1.0
land,212,,#677f7e,4223.52,794.27,4223.52,794.27,"[4195, 759, 4262, 833]","[4195, 759, 4262, 833]",1.0
ocean,213,,#bffe7f,3605.87,770.77,3605.87,770.77,"[3600, 762, 3612, 783]","[3600, 762, 3612, 783]",0.4
land,214,,#1637cf,3617.11,776.64,3617.11,776.64,"[3611, 764, 3624, 789]","[3611, 764, 3624, 789]",0.85
land,215,,#062d2c,3665.43,799.69,3665.43,799.69,"[3627, 768, 3699, 819]","[3627, 768, 3699, 819]",1.0
ocean,216,,#c6044e,3990.08,1579.07,3990.08,1579.07,"[3205, 774, 4784, 2112]","[3205, 774, 4784, 2112]",0.51
land,217,,#8227a7,2607.15,812.79,2607.15,812.79,"[2584, 775, 2628, 840]","[2584, 775, 2628, 840]",1.0
