region_id,region_type,color,pixel_count,parent_id,local_bbox_min_x,local_bbox_min_y,local_bbox_max_x,local_bbox_max_y,local_center_x,local_center_y,local_seed_x,local_seed_y,global_bbox_min_x,global_bbox_min_y,global_bbox_max_x,global_bbox_max_y,global_center_x,global_center_y,global_seed_x,global_seed_y
AREA000261,land,#297a0f,2233,,,,,,,,,,4384,1070,4447,1152,4416,1110,4416,1110
AREA000262,land,#a39462,2540,,,,,,,,,,1907,1080,1970,1144,1940,1108,1940,1108
AREA000263,land,#c0fcec,1399,,,,,,,,,,1962,1084,2007,1139,1982,1111,1982,1111
AREA000264,land,#679a4c,7633,,,,,,,,,,4308,1085,4476,1264,4406,1181,4406,1181
AREA000265,land,#16d067,44397,,,,,,,,,,3009,1090,3305,1382,3185,1217,3185,1217
AREA000266,land,#776945,168069,,,,,,,,,,1658,1092,2270,1701,1984,1343,1984,1343
AREA000267,land,#b34905,10830,,,,,,,,,,3347,1096,3469,1245,3408,1164,3408,1164
AREA000268,land,#f2b5f6,9598,,,,,,,,,,4521,1105,4678,1237,4601,1176,4601,1176
AREA000269,land,#d5a5fd,3693,,,,,,,,,,3279,1108,3363,1195,3322,1149,3322,1149
AREA000270,land,#4728b6,6073,,,,,,,,,,2990,1116,3107,1251,3055,1186,3055,1186
AREA000271,land,#af37fc,4557,,,,,,,,,,2955,1138,3042,1233,3001,1182,3001,1182
AREA000272,land,#52fa8a,352,,,,,,,,,,2964,1140,2993,1158,2980,1148,2980,1148
AREA000273,land,#2e6621,458,,,,,,,,,,4693,1147,4776,1173,4733,1161,4733,1161
AREA000274,land,#598df9,90,,,,,,,,,,4812,1149,4831,1168,4822,1159,4822,1159
AREA000275,land,#f72bac,4392,,,,,,,,,,1550,1152,1637,1251,1588,1195,1588,1195
AREA000276,lake,#241e67,896,,,,,,,,,,3312,1169,3351,1212,3330,1190,3330,1190
AREA000277,land,#8d17d0,24642,,,,,,,,,,1543,1175,1739,1460,1651,1317,1651,1317
AREA000278,land,#35c6fd,2016,,,,,,,,,,4676,1174,4742,1262,4702,1215,4702,1215
AREA000279,land,#7db968,566,,,,,,,,,,2015,1170,2057,1203,2037,1187,2037,1187
AREA000280,land,#deb20c,834,,,,,,,,,,4868,1179,4918,1210,4896,1194,4896,1194
AREA000281,land,#61ae7e,16798,,,,,,,,,,3280,1189,3448,1356,3363,1275,3363,1275
AREA000282,land,#70726a,357,,,,,,,,,,3268,1191,3299,1217,3284,1204,3284,1204
AREA000283,land,#87b549,5709,,,,,,,,,,4887,1197,5023,1314,4982,1242,4982,1242
AREA000284,land,#4e7f83,113,,,,,,,,,,4463,1198,4486,1220,4476,1208,4476,1208
AREA000285,land,#7d42b7,340,,,,,,,,,,3272,1210,3298,1242,3284,1226,3284,1226
AREA000286,land,#649a88,7150,,,,,,,,,,5022,1215,5173,1340,5073,1275,5073,1275
AREA000287,land,#cc2828,184,,,,,,,,,,4821,1217,4864,1232,4844,1223,4844,1223
AREA000288,land,#46f86b,103,,,,,,,,,,4789,1222,4808,1233,4798,1227,4798,1227
AREA000289,lake,#01257a,384,,,,,,,,,,3272,1234,3304,1310,3282,1274,3282,1274
AREA000290,land,#cc05a4,451,,,,,,,,,,5139,1240,5202,1271,5172,1260,5172,1260
AREA000291,land,#098fcc,56,,,,,,,,,,3005,1243,3019,1263,3009,1252,3009,1252
AREA000292,land,#de1e32,93,,,,,,,,,,5239,1260,5257,1280,5248,1271,5248,1271
AREA000293,land,#281a06,24182,,,,,,,,,,3000,1265,3192,1455,3090,1366,3090,1366
AREA000294,land,#647523,2057,,,,,,,,,,4469,1266,4607,1308,4537,1287,4537,1287
